data;uf;total_pago;total_recebido;total_energia_entregue;total_energia_recebida;total_capacidade;total_geracao_centro_gravidade
2020-12-01;AL;351.0;7481.0;586.0;22.0;4481.891;2176
2020-12-01;PE;402.0;4413.0;346.0;25.0;4233.797999999998;2119
2020-12-01;SE;59.0;11623.0;910.0;4.0;4770.64;2473
2020-12-01;BA;2291.0;2136.0;167.0;146.0;9000.543999999994;2868
2020-12-01;PI;145.0;114.0;9.0;10.0;3538.120000000001;840
2020-12-01;PR;15567.0;50700.0;1796.0;980.0;24042.757999999998;9047
2020-12-01;SC;8782.0;3915.0;298.0;553.0;4483.360000000002;1500
2020-12-01;RS;16423.0;4704.0;365.0;1049.0;22299.199000000015;4210
2020-12-01;PA;58873.0;796.0;63.0;3821.0;22281.738;3520
2020-12-01;RN;0.0;0.0;0.0;0.0;5533.796;2536
2020-12-01;ES;497.0;1367.0;106.0;31.0;1578.209;790
2020-12-01;PB;12.0;0.0;0.0;1.0;899.4320000000001;263
2020-12-01;CE;0.0;0.0;0.0;0.0;4635.964000000001;2120
2020-12-01;MT;5392.0;999.0;76.0;350.0;3706.3470000000016;1418
2020-12-01;MS;227.0;56.0;4.0;15.0;2507.8129999999996;772
2020-12-01;DF;15.0;45.0;4.0;1.0;30;13
2020-12-01;TO;479.0;4320.0;337.0;29.0;1932.6789999999999;1065
2020-12-01;MA;1792.0;1064.0;84.0;115.0;3900.616999999999;2458
2020-12-01;RO;12023.0;7414.0;580.0;765.0;8117.615000000001;3313
2020-12-01;AM;212.0;428.0;33.0;14.0;1433.002;1010
2020-12-01;AP;3969.0;226.0;18.0;260.0;1043.95;271
2020-06-01;MG;17888.0;15100.0;1174.0;1103.0;15992.048999999997;5604
2020-06-01;SP;12931.0;13679.0;1070.0;807.0;22024.110999999997;7610
2020-06-01;RJ;981.0;704.0;53.0;64.0;10053.891;3384
2020-06-01;GO;9130.0;6067.0;471.0;570.0;7502.669000000001;3072
2020-06-01;AL;5706.0;140.0;11.0;362.0;4481.891;1136
2020-06-01;PE;2102.0;319.0;25.0;133.0;4230.260999999999;923
2020-06-01;SE;3214.0;655.0;51.0;205.0;4770.64;1287
2020-06-01;BA;1506.0;1426.0;111.0;94.0;8409.488999999996;3290
2020-06-01;PI;32.0;277.0;22.0;2.0;2873.5120000000015;1212
2020-06-01;PR;35434.0;42968.0;1217.0;2217.0;24080.757999999998;6703
2020-06-01;SC;11686.0;4209.0;323.0;728.0;4471.935000000003;1295
2020-06-01;RS;19145.0;4501.0;348.0;1198.0;20553.974000000013;2202
2020-06-01;PA;2788.0;33554.0;2627.0;176.0;22281.738;9093
2020-06-01;RN;0.0;0.0;0.0;0.0;5210.917000000001;1829
2020-06-01;ES;558.0;737.0;57.0;36.0;1578.209;497
2020-06-01;PB;11.0;0.0;0.0;1.0;861.1320000000002;95
2020-06-01;CE;0.0;0.0;0.0;0.0;4521.364000000001;588
2020-06-01;MT;1084.0;2106.0;166.0;69.0;4201.187000000003;1460
2020-06-01;MS;250.0;175.0;13.0;16.0;2498.813;726
2020-06-01;DF;53.0;8.0;1.0;3.0;30;7
2020-06-01;TO;3362.0;76.0;5.0;215.0;1922.6789999999999;643
2020-06-01;MA;2104.0;486.0;38.0;133.0;3910.406999999999;1003
2020-06-01;RO;7083.0;5967.0;467.0;445.0;8117.615000000001;3475
2020-06-01;AM;81.0;1065.0;83.0;5.0;1617.002;986
2020-06-01;AP;284.0;3197.0;250.0;18.0;965.95;620
2020-08-01;MG;11231.0;23701.0;1853.0;624.0;15992.048999999997;6552
2020-08-01;SP;10627.0;18029.0;1413.0;606.0;22069.003999999997;8131
2020-08-01;RJ;2731.0;705.0;54.0;159.0;10067.891;2651
2020-08-01;GO;8425.0;9951.0;779.0;489.0;7502.669000000001;3356
2020-08-01;AL;4539.0;137.0;11.0;261.0;4481.891;1282
2020-08-01;PE;1618.0;306.0;25.0;91.0;4233.1129999999985;1310
2020-08-01;SE;1855.0;651.0;51.0;111.0;4770.64;1448
2020-08-01;BA;2027.0;1349.0;105.0;121.0;8480.888999999996;3711
2020-08-01;PI;90.0;249.0;20.0;5.0;3274.888000000001;1276
2020-08-01;PR;13695.0;87354.0;2928.0;753.0;24083.557999999997;10083
2020-08-01;SC;3438.0;12765.0;992.0;192.0;4479.880000000003;2359
2020-08-01;RS;2582.0;26996.0;2111.0;135.0;20564.89200000001;4780
2020-08-01;PA;75601.0;729.0;57.0;4337.0;22281.738;3734
2020-08-01;RN;0.0;0.0;0.0;0.0;5287.147000000001;3019
2020-08-01;ES;1163.0;325.0;24.0;66.0;1578.209;467
2020-08-01;PB;12.0;0.0;0.0;1.0;872.4320000000001;132
2020-08-01;CE;0.0;0.0;0.0;0.0;4521.364000000001;1079
2020-08-01;MT;5793.0;576.0;43.0;335.0;3694.3470000000016;1091
2020-08-01;MS;293.0;51.0;3.0;18.0;2498.813;632
