id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;NORTE;2022-02-22;5830.84645833
NE;NORDESTE;2022-02-22;11799.015
S;SUL;2022-02-22;15088.1805
SE;SUDESTE;2022-02-22;45265.65491667
N;NORTE;2022-02-23;5853.30066667
NE;NORDESTE;2022-02-23;11918.82416667
S;SUL;2022-02-23;14903.53866667
SE;SUDESTE;2022-02-23;45870.002125
N;NORTE;2022-02-24;5991.15020833
NE;NORDESTE;2022-02-24;12021.332375
S;SUL;2022-02-24;15048.16820833
SE;SUDESTE;2022-02-24;45666.88908333
N;NORTE;2022-02-25;6023.62933333
NE;NORDESTE;2022-02-25;11971.154125
S;SUL;2022-02-25;15101.33945833
SE;SUDESTE;2022-02-25;46003.76858333
N;NORTE;2022-02-26;5638.77733333
NE;NORDESTE;2022-02-26;11347.29495833
S;SUL;2022-02-26;13219.66816667
SE;SUDESTE;2022-02-26;42180.65508333
N;NORTE;2022-02-27;5315.54283333
NE;NORDESTE;2022-02-27;10602.52770833
S;SUL;2022-02-27;11890.95883333
SE;SUDESTE;2022-02-27;38960.04645833
N;NORTE;2022-02-28;5509.519375
NE;NORDESTE;2022-02-28;11267.40904167
S;SUL;2022-02-28;14121.6205
SE;SUDESTE;2022-02-28;43195.03004167
N;NORTE;2022-03-01;5265.72679167
NE;NORDESTE;2022-03-01;11367.4215
S;SUL;2022-03-01;13533.69116667
SE;SUDESTE;2022-03-01;43311.32020833
N;NORTE;2022-03-02;5589.00695833
NE;NORDESTE;2022-03-02;12111.477875
S;SUL;2022-03-02;14360.92133333
SE;SUDESTE;2022-03-02;45868.84470833
N;NORTE;2022-03-03;5948.005875
NE;NORDESTE;2022-03-03;12354.20945833
S;SUL;2022-03-03;14522.45575
SE;SUDESTE;2022-03-03;46937.33695833
N;NORTE;2022-03-04;5937.76458333
NE;NORDESTE;2022-03-04;12018.06891667
S;SUL;2022-03-04;14725.69375
SE;SUDESTE;2022-03-04;46491.40895833
N;NORTE;2022-03-05;5621.62991667
NE;NORDESTE;2022-03-05;11050.8645
S;SUL;2022-03-05;13204.44545833
SE;SUDESTE;2022-03-05;42728.97783333
N;NORTE;2022-03-06;5227.74033333
NE;NORDESTE;2022-03-06;10176.377875
S;SUL;2022-03-06;11716.23616667
SE;SUDESTE;2022-03-06;39689.82404167
N;NORTE;2022-03-07;5650.391125
NE;NORDESTE;2022-03-07;11366.414125
S;SUL;2022-03-07;14608.58329167
SE;SUDESTE;2022-03-07;46453.56129167
N;NORTE;2022-03-08;5666.629625
NE;NORDESTE;2022-03-08;11811.33220833
S;SUL;2022-03-08;14834.67108333
SE;SUDESTE;2022-03-08;47636.05495833
N;NORTE;2022-03-09;5749.57045833
NE;NORDESTE;2022-03-09;12234.62116667
S;SUL;2022-03-09;14860.90666667
SE;SUDESTE;2022-03-09;47518.164
N;NORTE;2022-03-10;5699.26075
NE;NORDESTE;2022-03-10;12356.26304167
S;SUL;2022-03-10;14877.01941667
SE;SUDESTE;2022-03-10;47494.650125
N;NORTE;2022-03-11;5688.62129167
NE;NORDESTE;2022-03-11;12276.73579167
S;SUL;2022-03-11;13767.50341667
SE;SUDESTE;2022-03-11;47335.57970833
N;NORTE;2022-03-12;5721.79525
NE;NORDESTE;2022-03-12;11816.92504167
S;SUL;2022-03-12;11014.99829167
SE;SUDESTE;2022-03-12;43022.32766667
N;NORTE;2022-03-13;5457.78508333
NE;NORDESTE;2022-03-13;11053.02316667
S;SUL;2022-03-13;9496.60404167
SE;SUDESTE;2022-03-13;39058.693375
N;NORTE;2022-03-14;5869.85666667
NE;NORDESTE;2022-03-14;12128.03108333
S;SUL;2022-03-14;12362.05991667
SE;SUDESTE;2022-03-14;45028.53079167
N;NORTE;2022-03-15;5761.080875
NE;NORDESTE;2022-03-15;12321.204375
S;SUL;2022-03-15;12955.04679167
SE;SUDESTE;2022-03-15;45509.777875
N;NORTE;2022-03-16;5748.26658333
NE;NORDESTE;2022-03-16;12237.53733333
S;SUL;2022-03-16;12945.71195833
SE;SUDESTE;2022-03-16;45713.06525
N;NORTE;2022-03-17;5824.884625
NE;NORDESTE;2022-03-17;11937.33925
S;SUL;2022-03-17;13332.61545833
SE;SUDESTE;2022-03-17;46536.904
N;NORTE;2022-03-18;5807.780125
NE;NORDESTE;2022-03-18;11710.76758333
S;SUL;2022-03-18;14198.56295833
SE;SUDESTE;2022-03-18;47445.19983333
N;NORTE;2022-03-19;5541.81533333
NE;NORDESTE;2022-03-19;11020.36795833
S;SUL;2022-03-19;11296.96458333
SE;SUDESTE;2022-03-19;43207.99145833
N;NORTE;2022-03-20;5289.301375
NE;NORDESTE;2022-03-20;10501.35791667
S;SUL;2022-03-20;9206.60045833
