mes,uf,total_pago,total_recebido,total_energia_entregue,total_energia_recebida,total_capacidade,geracao_total_MWmed
2019-10-01,PB,10,0,0,1,848.932,137
2019-10-01,CE,0,0,0,0,4402.244,2211
2019-10-01,MT,3342,1243,100,196,4152.335,1383
2019-10-01,DF,50,0,0,3,30,5
2019-10-01,TO,2623,466,37,153,1914.679,668
2019-10-01,MA,5071,0,0,291,3910.407,2110
2019-10-01,RO,27379,2482,199,1585,8091.055,1714
2019-10-01,AM,0,1634,132,0,1617.002,1095
2019-10-01,AP,3766,172,14,221,965.95,229
2019-11-01,MG,8430,17563,1413,493,16042.689,6415
2019-11-01,SP,8338,13257,1068,504,22129.591,7671
2019-11-01,RJ,1685,678,55,105,13394.954,5157
2019-11-01,GO,5429,5756,462,328,7580.969,3164
2019-11-01,AL,9118,1,0,549,4481.891,1019
2019-11-01,PE,3663,0,0,221,4403.006,1463
2019-11-01,SE,6078,1,0,372,4770.63,1123
2019-11-01,BA,3742,125,10,230,8361.664,2666
2019-11-01,PI,0,352,28,0,2324.68,898
2019-11-01,PR,11218,70922,2496,645,24079.758,9959
2019-11-01,SC,1050,13194,1056,58,4415.128,2701
2019-11-01,RS,978,25107,2026,59,19856.38,5367
2019-11-01,PA,65112,567,45,3910,22246.17,3619
2019-11-01,RN,0,0,0,0,5102.944,2177
2019-11-01,ES,1585,689,56,94,1577.969,535
2019-11-01,PB,11,0,0,1,848.932,126
2019-11-01,CE,0,0,0,0,4402.244,2189
2019-11-01,MT,2588,1584,126,155,4164.335,1573
2019-11-01,MS,435,101,8,27,2841.313,921
2019-11-01,DF,38,24,2,2,30,8
2019-11-01,TO,1958,387,31,118,1914.679,811
2019-11-01,MA,3894,201,16,236,3910.407,2334
2019-11-01,RO,16599,4795,386,1002,8091.055,2538
2019-11-01,AM,0,1545,124,0,1617.002,1174
2019-11-01,AP,5034,125,10,305,965.95,203
2019-12-01,MG,11808,16731,1344,660,15919.689,6286
2019-12-01,SP,6368,20288,1635,378,22129.591,7308
2019-12-01,RJ,2023,780,62,120,13394.954,4348
2019-12-01,GO,6130,7935,640,354,7578.969,3091
2019-12-01,AL,14318,0,0,844,4481.891,815
2019-12-01,PE,5921,0,0,348,4403.006,1355
2019-12-01,SE,11501,0,0,683,4770.63,903
2019-12-01,BA,3983,200,16,235,8401.664,2731
2019-12-01,PI,44,160,12,3,2424.68,880
2019-12-01,PR,21135,71420,2214,1194,24079.758,9463
2019-12-01,SC,8234,2138,167,460,4450.828,1413
2019-12-01,RS,9160,8760,702,512,19857.38,3663
2019-12-01,PA,44253,6033,487,2609,22281.738,5716
2019-12-01,RN,0,0,0,0,5134.129,2003
2019-12-01,ES,668,836,66,36,1577.969,647
2019-12-01,PB,12,0,0,1,848.932,117
2019-12-01,CE,0,0,0,0,4402.244,1980
2019-12-01,MT,1026,3861,310,64,4193.655,2084
